Year-Month,start_price,end_price,total_dividends,return
1983-01,0.1333709955215454,0.14051736891269684,0.0,5.358266513049284
1983-02,0.18247799575328827,0.15684622526168823,0.0,-14.04649935231336
1983-03,0.203683003783226,0.14524397253990173,0.0,-28.69116723431635
1983-04,0.18861599266529083,0.17360487580299377,0.0,-7.9585599556953195
1983-05,0.22544600069522858,0.19852906465530396,0.0,-11.939416071661679
1983-06,0.2578130066394806,0.1680188924074173,0.0,-34.82916374255283
1983-07,0.218191996216774,0.11989074945449829,0.0,-45.05263642421296
1983-08,0.155691996216774,0.1280556321144104,0.0,-17.750664628825724
1983-09,0.16629500687122345,0.07949772477149963,0.0,-52.19476142596298
1983-10,0.10323700308799744,0.07777822017669678,0.0,-24.660521082348772
1983-11,0.10100399702787399,0.07004382461309433,0.0,-30.652422998899347
1983-12,0.09096000343561172,0.08379463106393814,0.0,-7.877497912305785
1984-01,0.10881700366735458,0.08508369326591492,0.0,-21.810295819199926
1984-02,0.11049100011587143,0.0902407243847847,0.0,-18.327534106714896
1984-03,0.1171879991889,0.08508369326591492,0.0,-27.395557689516377
1984-04,0.11049100011587143,0.10785872489213943,0.0,-2.3823435582731074
1984-05,0.14174099266529083,0.10098294913768768,0.0,-28.75529708180453
1984-06,0.13113799691200256,0.09110011160373688,0.0,-30.531109404646678
1984-07,0.11830399930477142,0.08766181021928787,0.0,-25.90122841624653
1984-08,0.11383900046348572,0.09110011160373688,0.0,-19.974603402322057
1984-09,0.11830399930477142,0.0863727554678917,0.0,-26.990840567121793
1984-10,0.11160700023174286,0.08551336824893951,0.0,-23.37992413434824
1984-11,0.11160700023174286,0.08508369326591492,0.0,-23.764913411125153
1984-12,0.11049100011587143,0.10012354701757431,0.0,-9.383074718687329
1985-01,0.13002200424671173,0.09969388693571091,0.0,-23.325372875697557
1985-02,0.12946400046348572,0.08508369326591492,0.0,-34.28003695134379
1985-03,0.11049100011587143,0.07605944573879242,0.0,-31.162315791304984
1985-04,0.09877199679613113,0.07305165380239487,0.0,-26.040116458133326
1985-05,0.09486600011587143,0.05973053723573685,0.0,-37.03693930092905
1985-06,0.07589299976825714,0.0618789866566658,0.0,-18.465488456621546
1985-07,0.08091499656438828,0.05457426980137825,0.0,-32.55357829997476
1985-08,0.07087100297212601,0.05156566575169563,0.0,-27.24010725236001
1985-09,0.06696400046348572,0.05414457246661186,0.0,-19.14376068954253
1985-10,0.0703129991889,0.06402739137411118,0.0,-8.939467647941122
1985-11,0.08314699679613113,0.06918448954820633,0.0,-16.792557501697384
1985-12,0.0898440033197403,0.07562974840402603,0.0,-15.821039123922414
1986-01,0.09821400046348572,0.07949772477149963,0.0,-19.05662696118816
1986-02,0.10323700308799744,0.08594308793544769,0.0,-16.751663294418485
1986-03,0.11160700023174286,0.09711574018001556,0.0,-12.984185599144652
1986-04,0.12611599266529083,0.10399153083562851,0.0,-17.54294706174194
1986-05,0.13504500687122345,0.12719622254371643,0.0,-5.8119766952890615
1986-06,0.16517899930477142,0.12332821637392044,0.0,-25.336624575156915
1986-07,0.1601559966802597,0.10742900520563126,0.0,-32.922271140364614
1986-08,0.13895100355148315,0.12719622254371643,0.0,-8.459658949790473
1986-09,0.16573700308799744,0.11516416817903519,0.0,-30.513906952999985
1986-10,0.1489959955215454,0.11903143674135208,0.0,-20.110982630979727
1986-11,0.15513400733470917,0.13750874996185303,0.0,-11.361311214522289
1986-12,0.17857100069522858,0.13922831416130066,0.0,-22.031957249920456
1987-01,0.1802459955215454,0.1907939314842224,0.0,5.851966881237132
1987-02,0.24776799976825714,0.24064074456691742,0.0,-2.876584227182687
1987-03,0.313616007566452,0.22173304855823517,0.0,-29.297917450450228
1987-04,0.28125,0.272440105676651,0.0,-3.1324068705240884
1987-05,0.3549109995365143,0.27199411392211914,0.000536,-23.211702573878544
1987-06,0.3549109995365143,0.2788796126842499,0.0,-21.42266285112476
1987-07,0.3638390004634857,0.2840445041656494,0.0,-21.931265256387583
1987-08,0.3660709857940674,0.3723204731941223,0.000536,1.8535988000622634
1987-09,0.4888390004634857,0.38955703377723694,0.0,-20.309747502166562
1987-10,0.5066959857940674,0.26631230115890503,0.0,-47.44140300587652
1987-11,0.34598198533058167,0.22802531719207764,0.000714,-33.8869285423864
1987-12,0.29910698533058167,0.2902139127254486,0.0,-2.9732079293648646
1988-01,0.3816959857940674,0.2867591977119446,0.0,-24.87235695827912
1988-02,0.37276801466941833,0.29771003127098083,0.000714,-19.943766759164657
